0 Intro,1 Verse,2 Chorus,3 Instrumental,4 Bridge,5 End,,,
0.13,0.05,0.00,0.43,0.08,0.31,0.00,8.24,3.00
0.13,0.05,0.00,0.43,0.08,0.31,0.00,8.27,3.00
0.13,0.05,0.00,0.43,0.08,0.31,0.00,8.29,3.00
0.13,0.05,0.00,0.42,0.08,0.32,0.00,8.32,3.00
0.13,0.05,0.00,0.41,0.08,0.32,0.00,8.34,3.00
0.13,0.05,0.00,0.40,0.08,0.33,0.00,8.37,3.00
0.14,0.05,0.00,0.40,0.09,0.33,0.00,8.39,3.00
0.14,0.05,0.00,0.40,0.09,0.33,0.00,8.42,3.00
0.14,0.05,0.00,0.40,0.09,0.32,0.00,8.44,3.00
0.14,0.05,0.00,0.40,0.09,0.32,0.00,8.47,3.00
0.14,0.05,0.00,0.40,0.09,0.32,0.00,8.49,3.00
0.14,0.05,0.00,0.40,0.08,0.32,0.00,8.52,3.00
0.14,0.05,0.00,0.40,0.08,0.33,0.00,8.54,3.00
0.14,0.05,0.00,0.40,0.08,0.33,0.00,8.57,3.00
0.14,0.05,0.00,0.40,0.08,0.33,0.00,8.59,3.00
0.14,0.05,0.00,0.39,0.08,0.33,0.00,8.62,3.00
0.14,0.04,0.00,0.40,0.08,0.33,0.00,8.64,3.00
0.14,0.04,0.00,0.40,0.08,0.33,0.00,8.67,3.00
0.14,0.04,0.00,0.40,0.08,0.33,0.00,8.69,3.00
0.14,0.04,0.00,0.41,0.08,0.33,0.00,8.72,3.00
0.14,0.04,0.00,0.42,0.08,0.32,0.00,8.74,3.00
0.14,0.04,0.00,0.42,0.08,0.32,0.00,8.77,3.00
0.13,0.04,0.00,0.42,0.08,0.32,0.00,8.79,3.00
0.13,0.04,0.00,0.42,0.08,0.33,0.00,8.82,3.00
0.13,0.04,0.00,0.41,0.08,0.33,0.00,8.84,3.00
0.13,0.04,0.00,0.41,0.08,0.34,0.00,8.87,3.00
0.13,0.04,0.00,0.41,0.08,0.34,0.00,8.89,3.00
0.13,0.04,0.00,0.41,0.08,0.33,0.00,8.92,3.00
0.13,0.04,0.00,0.41,0.08,0.33,0.00,8.94,3.00
0.13,0.04,0.00,0.42,0.08,0.33,0.00,8.97,3.00
0.13,0.04,0.00,0.42,0.08,0.33,0.00,8.99,3.00
0.13,0.04,0.00,0.42,0.08,0.33,0.00,9.02,3.00
0.13,0.04,0.00,0.42,0.08,0.33,0.00,9.04,3.00
0.13,0.04,0.00,0.42,0.08,0.33,0.00,9.07,3.00
0.13,0.04,0.00,0.42,0.08,0.33,0.00,9.09,3.00
0.14,0.04,0.00,0.42,0.08,0.33,0.00,9.12,3.00
0.14,0.04,0.00,0.42,0.07,0.33,0.00,9.14,3.00
0.14,0.04,0.00,0.42,0.07,0.33,0.00,9.17,3.00
0.14,0.04,0.00,0.42,0.07,0.33,0.00,9.19,3.00
0.14,0.04,0.00,0.43,0.07,0.33,0.00,9.22,3.00
0.13,0.04,0.00,0.43,0.07,0.32,0.00,9.24,3.00
0.13,0.04,0.00,0.44,0.07,0.32,0.00,9.27,3.00
0.13,0.03,0.00,0.44,0.07,0.32,0.00,9.29,3.00
0.13,0.03,0.00,0.44,0.07,0.33,0.00,9.32,3.00
0.13,0.03,0.00,0.44,0.07,0.33,0.00,9.34,3.00
